CODI_LINIA;NOM_LINIA;ID_SENTIT;LONGITUD;FREQ.PASO;VEHÍCULOS UTILIZADOS;
220;D20;1;9560,82281;7;6,77271981818182;
220;D20;2;8934,54661;7;6,3290767012987;
240;D40;1;10725,7599;7;7,59794089728453;
240;D40;2;10770,24031;7;7,62945004250295;
250;D50;1;13446,64187;8;8,33469537396694;
250;D50;2;14239,1021;8;8,82588973140496;
202;H2;1;12305,13963;8;7,62715266322314;
202;H2;2;12176,38231;8;7,54734440702479;
204;H4;1;14641,96325;6;12,1007960743802;
204;H4;2;15054,0006;6;12,4413228099174;
206;H6;1;10065,10598;4;12,477404107438;
206;H6;2;10914,54552;4;13,5304283305785;
208;H8;1;13496,61199;7;9,56076410153483;
208;H8;2;13357,00826;7;9,46187125855962;
210;H10;1;11911,44338;8;7,38312606198347;
210;H10;2;11617,92937;8;7,20119589049587;
212;H12;1;11488,85652;6;9,49492274380165;
212;H12;2;11094,16417;6;9,16873071900826;
214;H14;1;10310,98153;9;5,68098155922865;
214;H14;2;9090,65709;9;5,00862649586777;
216;H16;1;12903,49315;8;7,99803294421488;
216;H16;2;12929,03742;8;8,01386616942149;
201;V1;1;7945,90659;11;3,58192633658903;
201;V1;2;7183,38232;11;3,23818887453043;
203;V3;1;9113,01286;5;9,03769870413223;
203;V3;2;8228,53532;5;8,16053089586777;
205;V5;1;7113,14812;8;4,40897610743802;
205;V5;2;7779,11989;8;4,8217685268595;
207;V7;1;4944,52705;5;4,90366319008264;
207;V7;2;5161,79045;5;5,11913102479339;
209;V9;1;5920,98649;7;4,19432336953955;
209;V9;2;5630,16782;7;3,98831250531287;
211;V11;1;6611,80296;8;4,09822497520661;
211;V11;2;6240,24352;8;3,86791953719008;
213;V13;1;8962,77672;5;8,88870418512397;
213;V13;2;7574,62284;5;7,51202265123967;
215;V15;1;8562,17625;7;6,06529604486423;
215;V15;2;8265,86166;7;5,85539196694215;
217;V17;1;7744,37386;9;4,26687265013774;
217;V17;2;9678,59911;9;5,33256149311295;
219;V19;1;11501,00464;8;7,12872188429752;
219;V19;2;11198,00447;8;6,94091186157025;
221;V21;1;10178,34298;8;6,3088902768595;
221;V21;2;9186,46128;8;5,69408757024793;
223;V23;1;8311,4451;8;5,15172216942149;
223;V23;2;11282,82656;8;6,99348753719008;
225;V25;1;8472,22372;9;4,66789185674931;
225;V25;2;7908,34605;9;4,35721545454546;
227;V27;1;10823,59252;7;7,66724381582054;
227;V27;2;10896,77176;7;7,7190827107438;
229;V29;1;7278,52033;8;4,51147954338843;
229;V29;2;10371,03319;8;6,42832635743802;
231;V31;1;11468,0243;10;5,68662361983471;
231;V31;2;10673,49998;10;5,29264461818182;
233;V33;1;7986,83549;10;3,96041429256198;
233;V33;2;7852,80663;10;3,89395370082645;
242;X1;1;4979,3224;7;3,52726498229044;
242;X1;2;6023,78706;7;4,26714549704841;
6;6;1;8310,24275;8;5,15097691115702;
6;6;2;7957,5564;8;4,93236966942149;
7;7;1;10131,57059;6;8,37319883471074;
7;7;2;10400,14643;6;8,59516233884298;
11;11;1;11202,00992;20;2,77735783140496;
11;11;2;15326,42445;20;3,79993994628099;
13;13;1;7014,93435;32;1,08702495092975;
13;13;2;6799,80944;32;1,05368947933884;
19;19;1;10931,6362;20;2,71032302479339;
19;19;2;10913,10717;20;2,70572905041322;
21;21;1;18076,09916;30;2,98778498512397;
21;21;2;15491,92099;30;2,56064809752066;
22;22;1;6458,03638;6;5,33722014876033;
22;22;2;6914,24285;6;5,7142502892562;
23;23;1;7276,44763;25;1,44326233983471;
23;23;2;7007,75527;25;1,38996798743802;
24;24;1;6783,03432;6;5,60581348760331;
24;24;2;6665,27361;6;5,50849058677686;
27;27;1;10626,2293;7;7,52743515938607;
27;27;2;10068,30632;7;7,13221226918536;
33;33;1;10835,65413;7;7,67578804958678;
33;33;2;10596,74495;7;7,50654896103896;
34;34;1;10933,32226;7;7,74497444628099;
34;34;2;10131,62869;7;7,177068729634;
39;39;1;5290,85492;13;2,01812647933884;
39;39;2;5706,73708;13;2,17675921678322;
46;46;1;19462,15196;15;6,43376924297521;
46;46;2;16289,27779;15;5,38488521983471;
47;47;1;12589,05901;11;5,67500781818182;
47;47;2;12637,64084;11;5,69690796694215;
52;52;1;5463,23493;20;1,35452105702479;
52;52;2;5158,22739;20;1,27889935289256;
54;54;1;8543,38456;9;4,70709893112948;
54;54;2;8021,89494;9;4,41977682644628;
55;55;1;6274,00967;12;2,59256597933884;
55;55;2;5066,82661;12;2,09373000413223;
59;59;1;10811,04409;11;4,87349846280992;
59;59;2;11325,73229;11;5,10551418031555;
60;60;1;11044,54239;16;3,42289536880165;
60;60;2;11974,08596;16;3,71097705371901;
62;62;1;12738,10603;15;4,21094414214876;
62;62;2;7782,152;15;2,57261223140496;
63;63;1;12470,79997;9;6,8709641707989;
63;63;2;12575,21367;9;6,92849238016529;
65;65;1;12761,1431;13;4,86756888747616;
65;65;2;12522,46182;13;4,77652707692308;
67;67;1;13732,14606;15;4,53955241652893;
67;67;2;13336,40704;15;4,4087296;
68;68;1;12867,25307;15;4,2536373785124;
68;68;2;12156,70763;15;4,01874632396694;
70;70;1;4436,18924;5;4,39952651900826;
70;70;2;4038,97779;5;4,00559780826446;
76;76;1;12425,17151;14;4,40088719362456;
76;76;2;11182,95795;14;3,96090600354191;
78;78;1;14456,21882;19;3,77282787820792;
