CODI_PARADA;DISTANCIA_PAR_ANTERIOR;CODI_LINIA;NOM_LINIA;ID_SENTIT;GEOMETRY
1788;0;220;D20;1;POINT (2.1945985766131 41.38567185560935)
1284;648,3902;220;D20;1;POINT (2.194608732654252 41.38316891146904)
1282;350,20667;220;D20;1;POINT (2.192840833644306 41.38030795429388)
1604;141,49206;220;D20;1;POINT (2.1921322649692194 41.379150813364696)
3348;228,90432;220;D20;1;POINT (2.189690990569933 41.378432446156495)
955;353,94506;220;D20;1;POINT (2.1874331904520514 41.37999541040556)
1164;378,55025;220;D20;1;POINT (2.1850045973391805 41.38255034318391)
255;471,92905;220;D20;1;POINT (2.1814749994933686 41.380453541797095)
256;177,09655;220;D20;1;POINT (2.180378609374653 41.379097937082996)
257;311,26138;220;D20;1;POINT (2.1784422836455692 41.37669963692269)
2617;272,32722;220;D20;1;POINT (2.176747377645749 41.374786419386936)
1326;204,6178;220;D20;1;POINT (2.1746403052954535 41.37478837449894)
1004;337,22842;220;D20;1;POINT (2.170618930914126 41.37503140676714)
140;288,0789;220;D20;1;POINT (2.167171023936409 41.375061537430504)
209;288,63891;220;D20;1;POINT (2.1637202285090296 41.37509638641384)
377;361,30465;220;D20;1;POINT (2.159399896545658 41.375107903427676)
3390;373,31177;220;D20;1;POINT (2.154935965230564 41.375120280866916)
1185;192,91604;220;D20;1;POINT (2.152629119321041 41.37512773809813)
180;445,36449;220;D20;1;POINT (2.147537069648354 41.375222290137025)
181;248,7302;220;D20;1;POINT (2.144563239484807 41.37528131260204)
1365;439,73038;220;D20;1;POINT (2.1393119084578673 41.37538455078479)
1364;226,28336;220;D20;1;POINT (2.136603747479704 41.3754382661719)
1767;195,45232;220;D20;1;POINT (2.13426962410235 41.375488641240885)
1768;270,88771;220;D20;1;POINT (2.1310288803010002 41.3755547311153)
1756;186,84724;220;D20;1;POINT (2.128796691043272 41.3756008461581)
856;381,87872;220;D20;1;POINT (2.12510413239777 41.37642368438985)
1373;266,59361;220;D20;1;POINT (2.123686918074135 41.378573092741426)
1713;441,67362;220;D20;1;POINT (2.119820541674291 41.37705666497627)
1259;481,91275;220;D20;1;POINT (2.1146390084502737 41.37591909829384)
3286;595,26917;220;D20;1;POINT (2.1121566533054663 41.37621592185976)
3286;0;220;D20;2;POINT (2.1121566533054663 41.37621592185976)
2984;358,27071;220;D20;2;POINT (2.114777029453305 41.37717246077722)
778;203,91222;220;D20;2;POINT (2.1164457975827276 41.37743378595494)
3473;296,8151;220;D20;2;POINT (2.1185103912219088 41.37570234320443)
1755;364,97748;220;D20;2;POINT (2.1228726698428297 41.375605514503796)
1766;425,74988;220;D20;2;POINT (2.1279615145376582 41.37549885299366)
707;328,48366;220;D20;2;POINT (2.1318799852302788 41.3754176153667)
708;203,83245;220;D20;2;POINT (2.1343165731919065 41.37536765374654)
584;207,81346;220;D20;2;POINT (2.136810032896689 41.37531214887064)
179;238,63208;220;D20;2;POINT (2.139662114552808 41.375256936771905)
391;437,96701;220;D20;2;POINT (2.1448947503926994 41.375152771454324)
392;163,77856;220;D20;2;POINT (2.146854292559836 41.3751197794976)
788;349,99711;220;D20;2;POINT (2.1505975521030902 41.37490486402816)
1367;407,37886;220;D20;2;POINT (2.155468470262347 41.37488884423554)
1620;370,14278;220;D20;2;POINT (2.1598945705426247 41.374880091109844)
770;385,71352;220;D20;2;POINT (2.164506492637661 41.37486616097471)
1061;211,94796;220;D20;2;POINT (2.1670408277530555 41.37486065687178)
722;300,8735;220;D20;2;POINT (2.170634729830233 41.37479406571474)
723;350,31904;220;D20;2;POINT (2.174798861891265 41.37451307464027)
2618;440,54234;220;D20;2;POINT (2.177143112281045 41.37479872356159)
252;250,1454;220;D20;2;POINT (2.178541261260127 41.376695172643245)
253;279,3731;220;D20;2;POINT (2.1802776137911715 41.3788454755641)
254;208,32479;220;D20;2;POINT (2.1815733936400634 41.38044931397982)
1476;351,76893;220;D20;2;POINT (2.184129644483907 41.38208095491802)
956;381,4272;220;D20;2;POINT (2.1872547019654847 41.379833911815325)
1605;382,6379;220;D20;2;POINT (2.1900713783343297 41.378391435949595)
1606;213,12381;220;D20;2;POINT (2.192297654621433 41.3791649782621)
1283;165,04309;220;D20;2;POINT (2.1931300821780586 41.38051263212801)
273;375,44523;220;D20;2;POINT (2.195020553811086 41.38358010412331)
1788;280,10942;220;D20;2;POINT (2.1945985766131 41.38567185560935)
3763;0;240;D40;1;POINT (2.1495380404974056 41.37730194578099)
3125;504,52746;240;D40;1;POINT (2.145255012847276 41.37846722065939)
777;340,34902;240;D40;1;POINT (2.1436143326882826 41.38047215602627)
217;357,23429;240;D40;1;POINT (2.1427012629548194 41.382888214720005)
1253;391,94343;240;D40;1;POINT (2.1429760160684315 41.38641012785513)
1554;313,44768;240;D40;1;POINT (2.1435604881321733 41.38919523991065)
136;200,24163;240;D40;1;POINT (2.1440526199555814 41.390958182961526)
1546;299,52707;240;D40;1;POINT (2.146620756299339 41.392023871349444)
932;533,64598;240;D40;1;POINT (2.1485039996210022 41.395343026894025)
1525;422,85272;240;D40;1;POINT (2.1523654664114527 41.397810432917474)
1262;250,74083;240;D40;1;POINT (2.1522924204075515 41.399564108384126)
120;246,14452;240;D40;1;POINT (2.151229551911657 41.40152554010779)
1123;263,48955;240;D40;1;POINT (2.1500811147358188 41.40363791933784)
1118;247,63705;240;D40;1;POINT (2.150125985286018 41.40574352845487)
505;532,80079;240;D40;1;POINT (2.153526188509672 41.40884122177774)
368;317,67115;240;D40;1;POINT (2.156636471251891 41.41046033286888)
1328;345,05608;240;D40;1;POINT (2.1597702270746546 41.411349015147906)
1086;327,4297;240;D40;1;POINT (2.162951664615313 41.41307749564795)
245;405,47224;240;D40;1;POINT (2.1668817752671594 41.41516440643161)
495;290,71414;240;D40;1;POINT (2.1698921824615547 41.41605148503482)
626;265,5328;240;D40;1;POINT (2.171696112994583 41.417987621013815)
1412;463,80881;240;D40;1;POINT (2.1742790036019457 41.42168943532669)
2758;358,36534;240;D40;1;POINT (2.177325633446657 41.422174104765176)
1887;289,85168;240;D40;1;POINT (2.1774177154060346 41.42475535994532)
1907;210,82403;240;D40;1;POINT (2.1772807467569164 41.42664961109541)
1906;299,29683;240;D40;1;POINT (2.1774158980359903 41.42931321858673)
772;374,19968;240;D40;1;POINT (2.174619582719488 41.43084095814817)
1510;318,45386;240;D40;1;POINT (2.173157827290185 41.4334896602605)
1511;209,88366;240;D40;1;POINT (2.1722266981454528 41.435217155424155)
803;224,94891;240;D40;1;POINT (2.173483649158115 41.43694121124807)
973;357,37888;240;D40;1;POINT (2.174716662726466 41.439474103194215)
974;316,96964;240;D40;1;POINT (2.172807386767562 41.44183784702521)
3514;155,28654;240;D40;1;POINT (2.1719911151587845 41.4430939501932)
3515;290,03392;240;D40;1;POINT (2.1697467331969107 41.4439525223714)
3515;0;240;D40;2;POINT (2.1697467331969107 41.4439525223714)
20;117,27806;240;D40;2;POINT (2.1708213862666947 41.44438503212881)
1172;207,05045;240;D40;2;POINT (2.1722570731277497 41.44344963650299)
975;211,81149;240;D40;2;POINT (2.1743370850206993 41.44397459142297)
1549;198,91879;240;D40;2;POINT (2.175553949308906 41.44243696855002)
804;294,12099;240;D40;2;POINT (2.176252522076879 41.44042067369489)
819;365,46285;240;D40;2;POINT (2.174051478141843 41.43775644928861)
306;252,64605;240;D40;2;POINT (2.172374550610133 41.43586911463085)
773;294,97995;240;D40;2;POINT (2.1730549389284635 41.433421404695785)
1589;330,36843;240;D40;2;POINT (2.1744909970853095 41.43077066084366)
1958;302,29133;240;D40;2;POINT (2.1747007667350786 41.428098174316574)
1095;215,26463;240;D40;2;POINT (2.1758739443377344 41.42639993364296)
820;226,33687;240;D40;2;POINT (2.1761245817725854 41.42451846445222)
823;356,95017;240;D40;2;POINT (2.174120065477978 41.421681505300846)
437;389,28271;240;D40;2;POINT (2.1719433461029607 41.418579686178234)
459;280,30507;240;D40;2;POINT (2.1701294690452833 41.41649917715878)
460;246,87926;240;D40;2;POINT (2.1677304116276956 41.415725611497464)
447;264,47192;240;D40;2;POINT (2.1648905222451322 41.41483004180766)
1316;227,89518;240;D40;2;POINT (2.162303315424577 41.41417957950397)
2776;325,09476;240;D40;2;POINT (2.159227317059274 41.41239347911512)
2777;314,2219;240;D40;2;POINT (2.156349560668865 41.410575718978635)
1513;339,29851;240;D40;2;POINT (2.153017246172449 41.40890136810716)
1122;391,64687;240;D40;2;POINT (2.1495106033214864 41.40674453810915)
1580;502,77245;240;D40;2;POINT (2.1489958483629357 41.4027958144702)
336;302,7051;240;D40;2;POINT (2.1478879565483795 41.40085955394498)
1390;399,47153;240;D40;2;POINT (2.1511279944877355 41.39828078652281)
3557;427,18892;240;D40;2;POINT (2.1487270316496936 41.39564872727308)
3558;365,76591;240;D40;2;POINT (2.145435203490796 41.39348028231371)
65;338,11716;240;D40;2;POINT (2.1437488586846305 41.391602782379884)
375;238,27403;240;D40;2;POINT (2.1431363145455418 41.38950735437431)
397;348,81556;240;D40;2;POINT (2.1424772250918944 41.386403185089726)
1414;582,51448;240;D40;2;POINT (2.142088587543066 41.381163737582455)
3762;430,72345;240;D40;2;POINT (2.145558896366476 41.37925207434066)
3763;681,31545;240;D40;2;POINT (2.1495380404974056 41.37730194578099)
3690;0;250;D50;1;POINT (2.1661599911320764 41.37648599264198)
1006;306,49832;250;D50;1;POINT (2.163580695490226 41.3784470251624)
1545;346,29946;250;D50;1;POINT (2.1614547399054937 41.380647042925844)
703;340,24302;250;D50;1;POINT (2.1637752622734223 41.38304363381482)
1076;304,19541;250;D50;1;POINT (2.16449256095366 41.38562891981612)
1257;761,43397;250;D50;1;POINT (2.1705469249195475 41.38772685497326)
1070;360,91598;250;D50;1;POINT (2.169376984503604 41.390143208467066)
149;272,90445;250;D50;1;POINT (2.171675464781671 41.39187016602525)
125;301,08519;250;D50;1;POINT (2.1742188443601735 41.393789594993514)
317;338,29964;250;D50;1;POINT (2.175272254367767 41.39547107432221)
63;331,65219;250;D50;1;POINT (2.17239072613645 41.397386323366476)
1228;236,90851;250;D50;1;POINT (2.171627740393997 41.39887304932722)
1318;285,84647;250;D50;1;POINT (2.1740578333392984 41.400688371844836)
784;396,72645;250;D50;1;POINT (2.1774174152916523 41.40320779542744)
244;233,51946;250;D50;1;POINT (2.179402818280248 41.40468793175022)
308;283,48019;250;D50;1;POINT (2.18180444703651 41.406488407057125)
1142;373,99355;250;D50;1;POINT (2.1819044929588944 41.408977537348235)
220;285,64217;250;D50;1;POINT (2.179503223674564 41.410808806938846)
212;277,74955;250;D50;1;POINT (2.1784752452910014 41.41260736864383)
1305;361,17723;250;D50;1;POINT (2.180783933621732 41.4151553983794)
1008;434,87487;250;D50;1;POINT (2.180738126907131 41.419026587653356)
1037;341,96266;250;D50;1;POINT (2.179568171185765 41.421798698580474)
1887;385,6541;250;D50;1;POINT (2.1774177154060346 41.42475535994532)
1907;210,82403;250;D50;1;POINT (2.1772807467569164 41.42664961109541)
1906;299,29683;250;D50;1;POINT (2.1774158980359903 41.42931321858673)
772;374,19968;250;D50;1;POINT (2.174619582719488 41.43084095814817)
1510;318,45386;250;D50;1;POINT (2.173157827290185 41.4334896602605)
1511;209,88366;250;D50;1;POINT (2.1722266981454528 41.435217155424155)
803;224,94891;250;D50;1;POINT (2.173483649158115 41.43694121124807)
1437;339,63787;250;D50;1;POINT (2.17552518286009 41.4392834376651)
440;308,56046;250;D50;1;POINT (2.1775847587397834 41.44159450766132)
1517;233,65291;250;D50;1;POINT (2.178735637688423 41.44351090180277)
1518;221,9797;250;D50;1;POINT (2.179556223445859 41.445408766990205)
